Prospectus Type,Document Type,Last Passporting Date,Approval or filing date,Home Member State,Securities Type,ISIN,First Passporting Date,Last Update Date,National Document ID,Consideration offered,Issuer(s) Name / LEI,Host Member State(s)
Base Prospectus,Base prospectus without Final terms,,20/04/2018,CZECHIA,Debt with denomination < €100.000,,,01/05/2018,U03982180423112703,,"UniCredit Bank Czech Republic and Slovakia, a.s. -  ",
Standalone Prospectus,Standalone prospectus,,20/04/2018,CZECHIA,Debt with denomination < €100.000,,,27/04/2018,U04710180424173457,,SOLEK HOLDING SE -  ,
Standalone Prospectus,Standalone prospectus,,19/04/2018,CZECHIA,Debt with denomination < €100.000,,,27/04/2018,U04710180423105551,,"STAY  HOME, a.s. -  ",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,06/04/2018,CZECHIA,,CZ0000301700,,06/04/2018,10201,,"Československá obchodní banka, a.s. -  ",
Base Prospectus,Base prospectus without Final terms,,05/04/2018,CZECHIA,Debt with denomination < €100.000,,,01/05/2018,U03982180405160052,,Europa Investment Property CZ a.s. -  ,
Standalone Prospectus,Standalone prospectus,,24/03/2018,CZECHIA,Debt with denomination ≥ €100.000,,,01/05/2018,U03982180326113557,,AAW X Spółka z ograniczoną odpowiedzialnością -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/03/2018,CZECHIA,,CZ0000301684,,24/03/2018,10178,,"Československá obchodní banka, a.s. -  ",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/03/2018,CZECHIA,,CZ0000301718,,24/03/2018,10177,,"Československá obchodní banka, a.s. -  ",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,20/03/2018,CZECHIA,,CZ0003518847,,20/03/2018,10163,,EMTC - Czech a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,20/03/2018,CZECHIA,,CZ0003518854,,20/03/2018,10162,,EMTC - Czech a.s. -  ,
Base Prospectus,Base prospectus without Final terms,,06/03/2018,CZECHIA,Debt with denomination < €100.000,,,09/01/2019,U04710180309113228,,EMTC - Czech a.s. -  ,
Standalone Prospectus,Standalone prospectus,,27/02/2018,CZECHIA,Debt with denomination ≥ €100.000,,,06/03/2018,U04710180228143521,,"J&T ENERGY FINANCING CZK I, a.s. -  ",
Standalone Prospectus,Standalone prospectus,,27/02/2018,CZECHIA,Debt with denomination ≥ €100.000,,,06/03/2018,U04710180228144225,,"J&T ENERGY FINANCING CZK II, a.s. -  ",
Base Prospectus,Base prospectus without Final terms,,22/02/2018,CZECHIA,Debt with denomination < €100.000,,,28/01/2019,U06132180222095104,,GEEN Development a.s. -  ,
Standalone Prospectus,Standalone prospectus,,16/02/2018,CZECHIA,Debt with denomination ≥ €100.000,,,28/02/2018,U04710180226102023,,RED Thirteen s.r.o. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,10/02/2018,CZECHIA,,CZ0000301650,,10/02/2018,9927,,"Československá obchodní banka, a.s. -  ",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,10/02/2018,CZECHIA,,CZ0000301668,,10/02/2018,9928,,"Československá obchodní banka, a.s. -  ",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,01/02/2018,CZECHIA,,CZ0003518268,,01/02/2018,9694,,Czech-Moravian Properties a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,01/02/2018,CZECHIA,,CZ0003518276,,01/02/2018,9695,,Czech-Moravian Properties a.s. -  ,
Standalone Prospectus,Standalone prospectus,,31/01/2018,CZECHIA,Debt with denomination < €100.000,,,09/10/2018,U06132180202100334,,Equa bank a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,23/01/2018,CZECHIA,,CZ0003518326,,23/01/2018,9198,,UNICAPITAL Invest II a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,23/01/2018,CZECHIA,,CZ0003518318,,23/01/2018,9197,,UNICAPITAL Invest II a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,23/01/2018,CZECHIA,,CZ0003518334,,23/01/2018,9199,,UNICAPITAL Invest II a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,23/01/2018,CZECHIA,,CZ0003518300,,23/01/2018,9196,,UNICAPITAL Invest II a.s. -  ,
Base Prospectus,Base prospectus without Final terms,,12/01/2018,CZECHIA,Debt with denomination < €100.000,,,08/06/2018,U06132180112101443,,UNICAPITAL Invest II a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,12/01/2018,CZECHIA,,CZ0003518243,,12/01/2018,9193,,DRFG Real Estate Management a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,12/01/2018,CZECHIA,,CZ0003518227,,12/01/2018,9191,,DRFG Real Estate Management a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,12/01/2018,CZECHIA,,CZ0003518235,,12/01/2018,9192,,DRFG Real Estate Management a.s. -  ,
Base Prospectus,Base prospectus without Final terms,,09/01/2018,CZECHIA,Debt with denomination < €100.000,,,17/10/2018,U03982180110083307,,Czech-Moravian Properties a.s. -  ,
Standalone Prospectus,Standalone prospectus,,14/12/2017,CZECHIA,Debt with denomination ≥ €100.000,,,05/01/2018,U06132171218123819,,Teplárna Otrokovice a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,09/12/2017,CZECHIA,,CZ0003518078,,09/12/2017,9145,,Trigema Real Estate Finance a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,02/12/2017,CZECHIA,,CZ0003517948,,02/12/2017,9143,,NWD Group a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,02/12/2017,CZECHIA,,CZ0003517955,,02/12/2017,9142,,NWD Group a.s. -  ,
Base Prospectus,Base prospectus without Final terms,,01/12/2017,CZECHIA,Debt with denomination < €100.000,,,09/12/2017,U03982171201085440,,Trigema Real Estate Finance a.s. -  ,
Standalone Prospectus,Standalone prospectus,,17/11/2017,CZECHIA,Debt with denomination ≥ €100.000,,,22/11/2017,U06132171120124426,,EUC a.s. -  ,
Standalone Prospectus,Standalone prospectus,,16/11/2017,CZECHIA,Debt with denomination ≥ €100.000,,,22/11/2017,U04710171120154721,,RSRE INVEST a.s. -  ,
Base Prospectus,Base prospectus without Final terms,,11/11/2017,CZECHIA,Debt with denomination < €100.000,,,15/11/2017,U04710171113124228,,NWD Group a.s. -  ,
Standalone Prospectus,Standalone prospectus,,08/11/2017,CZECHIA,Debt with denomination ≥ €100.000,,,11/11/2017,U06132171109145802,,MND a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,08/11/2017,CZECHIA,,CZ0002005275,,08/11/2017,9073,,"Hypoteční banka, a.s. -  ",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,07/11/2017,CZECHIA,,CZ0000301551,,07/11/2017,9070,,"Československá obchodní banka, a.s. -  ",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,07/11/2017,CZECHIA,,CZ0000301544,,07/11/2017,9071,,"Československá obchodní banka, a.s. -  ",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,10/10/2017,CZECHIA,,CZ0000301502,,10/10/2017,8798,,"Československá obchodní banka, a. s. -  ",
Base Prospectus,Base prospectus without Final terms,,05/10/2017,CZECHIA,Debt with denomination < €100.000,,,11/10/2017,U04710171009124659,,DRFG Real Estate Management a.s. -  ,
Standalone Prospectus,Standalone prospectus,,28/09/2017,CZECHIA,Debt with denomination < €100.000,,,06/10/2017,U03982171004153602,,"Moravská stavební - INVEST, a.s. -  ",
Base Prospectus,Base prospectus without Final terms,,28/09/2017,CZECHIA,Debt with denomination < €100.000,,,01/11/2017,U03982171027105750,,Guaranteed investment a.s. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,23/09/2017,CZECHIA,,CZ0000301486,,23/09/2017,8506,,"Československá obchodní banka, a. s. -  ",
Base Prospectus,Base prospectus without Final terms,,14/09/2017,CZECHIA,Derivative securities,,,16/05/2018,U03982170914133303,,"Československá obchodní banka, a.s. -  ",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,06/09/2017,CZECHIA,,CZ0003517328,,06/09/2017,8275,,DRFG TELCO s.r.o. -  ,
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,06/09/2017,CZECHIA,,CZ0003517344,,06/09/2017,8276,,DRFG TELCO s.r.o. -  ,
Base Prospectus,Base prospectus without Final terms,,30/08/2017,CZECHIA,Debt with denomination < €100.000,,,02/09/2017,U04710170831113001,,CEE Real Estate a.s. -  ,
Base Prospectus,Base prospectus without Final terms,,23/08/2017,CZECHIA,Debt with denomination < €100.000,,,26/08/2017,U03982170824153732,,"eFi Palace, s.r.o. -  ",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,10/08/2017,CZECHIA,,CZ0000301437,,10/08/2017,8187,,"Československá obchodní banka, a.s. -  ",
Base Prospectus,Base prospectus without Final terms,,02/08/2017,CZECHIA,Debt with denomination ≥ €100.000,,,09/08/2017,U06132170807123041,,Garanční systém finančního trhu -  ,
Base Prospectus,Base prospectus without Final terms,,20/07/2017,CZECHIA,Debt with denomination < €100.000,,,27/07/2017,U03910170725102123,,"e-Finance, a.s. -  ",
Base Prospectus,Base prospectus without Final terms,,04/07/2017,CZECHIA,Debt with denomination < €100.000,,,17/07/2017,U06132170711094034,,"Hypoteční banka, a.s. -  ",
Standalone Prospectus,Standalone prospectus,,01/07/2017,CZECHIA,Debt with denomination ≥ €100.000,,,05/07/2017,U06132170703112254,,"J&T Global Finance VIII., s.r.o. -  ",
Base Prospectus,"Final terms, including the  summary of the individual issue annexed to them",,24/06/2017,CZECHIA,,CZ0002005036,,24/06/2017,7955,,Equa bank a.s. -  ,
